id,type,title,price,currency,category,source_original,booth_url,github_release_url,stripe_product_name,tax_code_candidate,metadata_ready,selection_reason,notes,review_result,creation_method,price_check
dake_pdf_viewer,app,DakePDF見る,500,JPY,PDF,01_apps/DAKE_PDF_Viewer/ORIGINAL.md,https://peakheadz.booth.pm/items/8448219,https://github.com/yukiPHZ/dake-series/releases/tag/DAKE_PDF_Viewer_v1.0.0,DakePDF見る,txcd_10202003,yes,PDF閲覧で内容が分かりやすく、既存Stripe対応PDF系と近い通常アプリ。,PDF系; PDF viewer baseline for the pilot.,create,api_candidate,price_ok
dake_pdf_reorder,app,DakePDFページ並べ替え,500,JPY,PDF,01_apps/DAKE_PDF_Reorder/ORIGINAL.md,https://peakheadz.booth.pm/items/8448206,https://github.com/yukiPHZ/dake-series/releases/tag/DAKE_PDF_Reorder_v1.0.0,DakePDFページ並べ替え,txcd_10202003,yes,PDFページ並び替えで用途が明確。PDF系の別操作パターンを確認できる。,PDF系; PDF page reordering workflow.,create,api_candidate,price_ok
dake_pdf_splitone,app,DakePDF分割One,500,JPY,PDF,01_apps/DAKE_PDF_SplitOne/ORIGINAL.md,https://peakheadz.booth.pm/items/8448207,https://github.com/yukiPHZ/dake-series/releases/tag/DAKE_PDF_SplitOne_v1.0.0,DakePDF分割One,txcd_10202003,yes,PDF分割系の代表として選定。既存PDF結合/圧縮とは異なる操作カテゴリ。,PDF系; PDF split workflow.,create,api_candidate,price_ok
dake_image_heictojpg,app,HEIC→JPG変換,500,JPY,画像,01_apps/DAKE_Image_HEICtoJPG/ORIGINAL.md,https://peakheadz.booth.pm/items/8447596,https://github.com/yukiPHZ/dake-series/releases/tag/DAKE_Image_HEICtoJPG_v1.0.0,HEIC→JPG変換,txcd_10202003,yes,HEICからJPGへの変換で商品内容が直感的。画像変換系の代表。,画像系; Image conversion workflow.,create,api_candidate,price_ok
dake_image_topdf,app,DakeImageToPDF,500,JPY,画像/PDF,01_apps/DAKE_Image_ToPDF/ORIGINAL.md,https://peakheadz.booth.pm/items/8397610,https://github.com/yukiPHZ/dake-series/releases/tag/DAKE_Image_ToPDF_v1.0.0,DakeImageToPDF,txcd_10202003,yes,画像PDF化でPDF/画像の横断カテゴリを確認できる。,画像系; Image to PDF workflow.,create,api_candidate,price_ok
DAKE_Sticky_Memo,app,付箋メモ,300,JPY,メモ / 付箋,01_apps/DAKE_Sticky_Memo/ORIGINAL.md,https://peakheadz.booth.pm/items/8448263,https://github.com/yukiPHZ/dake-series/releases/tag/DAKE_Sticky_Memo_v1.0.0,付箋メモ,txcd_10202003,yes,付箋メモは軽量で用途が明確。メモ系の代表として適している。,メモ系; Memo app baseline.,create,api_candidate,price_ok
DAKE_Mail_Draft,app,Dakeメール下書き,300,JPY,メール,01_apps/DAKE_Mail_Draft/ORIGINAL.md,https://peakheadz.booth.pm/items/8448001,https://github.com/yukiPHZ/dake-series/releases/tag/DAKE_Mail_Draft_v1.0.0,Dakeメール下書き,txcd_10202003,yes,メール下書きは自動送信しない補助ツールで、説明・免責が比較的整理しやすい。,メール系; Mail draft helper; no automatic send.,create,api_candidate,price_ok
DAKE_Backup,app,Dakeバックアップ,500,JPY,バックアップ / 保全,01_apps/DAKE_Backup/ORIGINAL.md,https://peakheadz.booth.pm/items/8447578,https://github.com/yukiPHZ/dake-series/releases/tag/DAKE_Backup_v1.0.0,Dakeバックアップ,txcd_10202003,yes,バックアップ補助は実務用途が明確。購入前注意書きは維持する。,作業補助系; Backup helper; keep backup/disclaimer wording.,create,api_candidate,price_ok
dake_folder_list,app,Dakeフォルダ一覧,300,JPY,ファイル / 一覧,01_apps/DAKE_Folder_List/ORIGINAL.md,https://peakheadz.booth.pm/items/8447591,https://github.com/yukiPHZ/dake-series/releases/tag/DAKE_Folder_List_v1.0.0,Dakeフォルダ一覧,txcd_10202003,yes,フォルダ一覧化で配布導線・商品説明が分かりやすい。,ファイル整理系; File listing workflow.,create,api_candidate,price_ok
dake_year_age,app,Dake築年数,300,JPY,年数・日付,01_apps/DAKE_Year_Age/ORIGINAL.md,https://peakheadz.booth.pm/items/8448286,https://github.com/yukiPHZ/dake-series/releases/tag/DAKE_Year_Age_v1.0.0,Dake築年数,txcd_10202003,yes,年数計算系を1件だけ入れる。高度な税務判断ではなく、比較的低リスクな計算枠。,年数/計算系; Limited calculation/date pilot item.,create,api_candidate,price_ok
